原始来源,原始大小,原始SHA256,目标路径,处理
C:\zyh\work\漏洞整理\优必选人型\udoke未授权WS终端容器Root-RCE-1\scripts\udoke_ws_terminal.py,4743,69d4892a0f344384315ea8929d78bc154953303369167819e072363d610cbb55,工具\复现工具\其他机器人\UBH-023\udoke_ws_terminal.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选人型\voice-无认证语音服务与ASR堆越界读-1\scripts\exploit_voice.py,4940,047a1fffd718db42373f54b8f1002b51276e076bb6bd967a0db70d749474fa71,工具\复现工具\其他机器人\UBH-024\exploit_voice.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选人型\wifi-set_ap命令注入到root\scripts\exploit_wifi_setap.py,4677,90394071f05c8f12b71c6ee2d495f35770319d3e0fe5814d12529b5ec8eb9c0f,工具\复现工具\其他机器人\UBH-025\exploit_wifi_setap.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选人型\wifi-set_ap命令注入到root\scripts\setap_rce_shell.py,6637,63099d84f7a1889a600980d8d0c349c4310391de9839a5d4ef2a6c34b8fcc8b2,工具\复现工具\其他机器人\UBH-025\setap_rce_shell.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端仅凭SN获取全量固件\evidence\ota_firmware_query.py,2479,648720d8d6a568291999119d1aefa1598e9179f1d30b11ffcf7ba47a5a43f272,工具\复现工具\其他机器人\UBW-001\ota_firmware_query.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\evidence\capture_getbindusers.py,1543,4477edf2ade9659a21582a1849a9976e90c584571e8215e924024e49fd1f7e12,工具\复现工具\其他机器人\UBW-002\capture_getbindusers.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\evidence\ota_enum_products.py,3601,2180d8d4f649a617b85b9fe5cdf837dad9fad48752c444bd64a33274f2bbbde2,工具\复现工具\其他机器人\UBW-002\ota_enum_products.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\evidence\ota_url_probe.py,1690,951db6d1058158e122f91676e1b751cbb0f85533326e29f7f35b56845c431397,工具\复现工具\其他机器人\UBW-002\ota_url_probe.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\evidence\scan_online_sample.py,2246,0655b4abd37aa4dd1cda3618350286b237db10aae21dac35af28fcc5b2170080,工具\复现工具\其他机器人\UBW-002\scan_online_sample.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\screenshots\make_screenshot.py,2050,548b81c5821d97a341ab4f72475f883d306a4e3a9fbef503b4176a202786b5fd,工具\复现工具\其他机器人\UBW-002\make_screenshot.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\scripts\burp_gen_request.py,2451,e17a121a82b18898710afd0871ced55d165b6a3a942a13ad737f21dcb189a15b,工具\复现工具\其他机器人\UBW-002\burp_gen_request.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\scripts\idor_probe.py,7826,353952cf0128b70fec24581adae58a4e89107acd86f07862f9e5a35a1b19d12f,工具\复现工具\其他机器人\UBW-002\idor_probe.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\scripts\im_contact_pii.js,2534,c8e7c45273df6d2d63ecea0e2c15f655fa5699ffd8584131a6c8d5b01aa6dffa,工具\复现工具\其他机器人\UBW-002\im_contact_pii.js,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\scripts\im_control_test.js,3848,3bd215ba8d9c2532b754375f72e8fb922ac6b5d9d07ade78e1cb378e82fb6aeb,工具\复现工具\其他机器人\UBW-002\im_control_test.js,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\scripts\im_hijack_test.js,3385,291d744b05d5eb7466da6ce6cdcbf104de9553c203732649b8b00927dd9e166b,工具\复现工具\其他机器人\UBW-002\im_hijack_test.js,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\scripts\im_rtav_test.js,3600,f69c0fe3dbdde09dc5fc5a2b378e69fa29a3f4a3214e19862252ec400e15099f,工具\复现工具\其他机器人\UBW-002\im_rtav_test.js,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\scripts\im_send_test.js,2652,b946dcac820f0155c962a38568aa11cce2497bc5160e782ed4f3db465c34a6fd,工具\复现工具\其他机器人\UBW-002\im_send_test.js,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\scripts\im_speak_test.js,3954,979294d8333b570648c840244f49d01b08bcb90fce72c5d30f485ff9be452fdb,工具\复现工具\其他机器人\UBW-002\im_speak_test.js,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\scripts\im_tenant_login.js,1585,77bad9cec87691f33c9baf216945ba7bf51db010054edb15b3c429de8d4fb83b,工具\复现工具\其他机器人\UBW-002\im_tenant_login.js,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\scripts\robot_ssh.py,1696,c7e80d898964a34b60e56b900777fc5603ecefc0eb048fbc047f3e5cd4521a6f,工具\复现工具\其他机器人\UBW-002\robot_ssh.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\scripts\run_full_chain.js,4779,8af5125287013115c6fd86723a34696f2f58756d9117f1aed949489abe89eb8b,工具\复现工具\其他机器人\UBW-002\run_full_chain.js,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\scripts\shim.js,912,c5d60e57b292727db53596468cf4ae925408c3cb180487f1133b5d257b31cc5d,工具\复现工具\其他机器人\UBW-002\shim.js,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选AI悟空EDU\局域网内未授权LuaRCE漏洞\exploit.py,14776,65a33f1529f47695a284b9d9672281c661a6d0a4c1bbf2aa7659db98b86e2bcb,工具\复现工具\其他机器人\UBW-003\exploit.py,文本脱敏后导入
