原始来源,原始大小,原始SHA256,未提交原因
C:\zyh\work\漏洞整理\优必选人型\api-sysupload任意路径写跨板SFTP-RCE-1\evidence\backend_source_dump.txt,48999,db8da9c7779a81d964fb356cf04362785e679825b0ecdfa342e0657f9956885c,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选人型\api-sysupload任意路径写跨板SFTP-RCE-1\evidence\backup_authorized_keys.motion,552,ee7475543fa8dac7e3aa647a7a37494522e5066ab61376036c33ab4edf96c390,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选人型\api-sysupload任意路径写跨板SFTP-RCE-1\evidence\rce_motion_shell_2026-08-29.txt,3394,c273e59998fa919b1bc92de1de14ded9c1ec431f7c2d3b11c50cf5cc4e9c0ac5,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选人型\api-sysupload任意路径写跨板SFTP-RCE-1\scripts\rce_tmp_key.pem,1702,f926e6b8a2d131883e996d8082bc2f9a81f5a8dd65064734f1c00c191ef4f502,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选人型\cc_api-jsonrpc零认证远程控制\evidence\cc_api_fingerprint.txt,129,dc02c1a1bb05c2a38140cfe49cdf30ea16a662d23ed25e5abebf1e58d821a5cc,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选人型\emb-request_shutdown一字节双板关机\evidence\shutdown_0xAA.txt,173,6a6c012b67ff85f96c90898f706503b043615afbb2a22d622893d6e987e4e3bf,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选人型\emb-upgrade无签名MCU固件刷写\evidence\mcu_upgrade_probe.txt,192,0a90bb596221950280904af419d11ee8cc68c2ca389cfa3f1892c9809a79dfad,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选人型\executecmd-蓝牙技能system执行\evidence\executecmd_evidence.txt,254,fd39ae51d9aba65903783e590464c413345afae9b6651c57b48611147348adb9,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选人型\jetson-启动链测试签名固件可重签\evidence\boot_sig_evidence.txt,417,f555c9f8d93fee5c550036ad63cdeaf70f247e183f2b265b3352f12c6f640120,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选人型\jetson-启动链测试签名固件可重签\evidence\tegrabl_pkcs7.der,2773,402ca4541c61050e873261c61a21c23637d52d78f05cb35a8e688607940dd267,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选人型\jetson-调试UART无认证root-shell\evidence\uart_shell_evidence.txt,1195,7f7a5efbe9d85904d91dc3666f4bb68523a50e9baf39c3f41dca66c12e82d4d1,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选人型\list-files任意递归列目录全盘文件泄露-1到ssh\evidence\listfiles_live.txt,896,07fe6037b33a0cc5478115f10860d63c99c607a683a5dee289c100389788bb90,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选人型\lora-ecc_control零认证RF命令帧\evidence\lora_frame_evidence.txt,205,9905459b7f251f920d41afaa2c81c593a4bff3081c20f660f27d5087693c6bf6,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选人型\map_http_node-Zip-Slip任意文件写\evidence\zip_slip_evidence.txt,269,2b776121dd0ae72a0bd5fb365e3a7cc47e2eb70dc0ae3f695e3b18cc69ee8f19,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选人型\motion-运动控制服务无认证与重放检查关闭\evidence\motion_services_enum.txt,63,c39642a584570d2f6725fd0d7a9047283cbc417ba7fe774184a47c26e7360172,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选人型\mqtt-云端fileDownloadLink命令执行\evidence\mqtt_rc_payload.txt,302,50f56e7dd232152e9863ba09367c9210e7cd5368a744e4a40b1e8a8e09387b98,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选人型\udoke未授权WS终端容器Root-RCE-1\evidence\verify_terminal_rce3.txt,7539,d152d62d134a6e2ca58a751973812e0ba6a3a64208a10b6813d901961e776ac1,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选人型\voice-无认证语音服务与ASR堆越界读-1\evidence\voice_evidence.txt,300,058f944119690ed3f793904c17f5cfa50a29fd7596d4ff28365e25136c95867b,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选人型\wifi-set_ap命令注入到root\evidence\wifi_setap_injection.txt,423,97be24fe66db9472c3f3b21e2b77549c73245f6cc082197230821f7ad5250fd3,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选人型\wifi-set_ap命令注入到root\scripts\v1_tmp_key.pem,1702,e4196abd4ad2d47d45aa05d3e55089fbc72012320ec4bea39a3f94730aba14f8,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端仅凭SN获取全量固件\evidence\ota_full_enum_20260729.json,8882,5201aacbdb9ae0a8d0edcf8131cb1e4145ce093127090d3b0c29cfea754e2324,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\AlphaMini_云IM链RCE_技术分析.html,25661,3e30d812fc45e28895d6497070b96feb3f2065c388dcdc615da5900a2e598775,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\BURP_GUIDE.md,3923,57a9d4068641340c167d99b93fdaf5f9c762c5204efc78a0b1b2edcdb3d1c185,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\evidence\evidence_im_chain_20260731.log,17394,0e011e69398d44e1d6a96d5f71747cf0eb01b1d9c90a18351515826058c3e140,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\evidence\full_chain_run_20260731_124027.log,1013,d40ab9ae5ad1a570edbd09c9a1bb1999ebfcebc80eccc1d7ed532b3f30330b9f,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选AI悟空EDU\云端任意机器人未授权控制\evidence\online_sample_scan_20260731_125356.log,1541,1fb21d4f7b2f7567a6979321ab7b7e8889431357d11c463cc596c0146f43f13d,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
